Items,Responses,Household Number,Age,Gender,Highest level of education,Still in school?,Can read / write?,Domain
Step Five: How open are you the idea of this activity taking place in your community?,"Very open (no concerns, and feel positive)",215,20,Female,University,Yes,Yes,
Step Five: How open are you the idea of this activity taking place in your community?,"Moderately open (few concerns, but feel positive)",225,48,Female,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How open are you the idea of this activity taking place in your community?,"Very open (no concerns, and feel positive)",220,29,Male,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How open are you the idea of this activity taking place in your community?,"Very open (no concerns, and feel positive)",221,50,Female,E.P.P (ambaratonga voalohany),No,No,
Step Five: How open are you the idea of this activity taking place in your community?,"Very open (no concerns, and feel positive)",229,28,Female,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How open are you the idea of this activity taking place in your community?,"Moderately open (few concerns, but feel positive)",228,60,Male,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How open are you the idea of this activity taking place in your community?,"Moderately open (few concerns, but feel positive)",222,46,Female,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How open are you the idea of this activity taking place in your community?,,216,,Female,Tsy mianatra,No,No,
Step Five: How open are you the idea of this activity taking place in your community?,"Very open (no concerns, and feel positive)",230,38,Female,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How open are you the idea of this activity taking place in your community?,"Very open (no concerns, and feel positive)",39,28,Female,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How open are you the idea of this activity taking place in your community?,"Very open (no concerns, and feel positive)",168,34,Male,Lycée (ambaratonga fahatelo),No,Yes,
Step Five: How open are you the idea of this activity taking place in your community?,"Moderately open (few concerns, but feel positive)",167,60,Female,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How open are you the idea of this activity taking place in your community?,"Moderately open (few concerns, but feel positive)",223,24,Male,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How open are you the idea of this activity taking place in your community?,"Very open (no concerns, and feel positive)",224,31,Male,Lycée (ambaratonga fahatelo),No,Yes,
Step Five: How open are you the idea of this activity taking place in your community?,"Very open (no concerns, and feel positive)",158,43,Male,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How open are you the idea of this activity taking place in your community?,"Very open (no concerns, and feel positive)",218,23,Female,Lycée (ambaratonga fahatelo),No,Yes,
Step Five: How open are you the idea of this activity taking place in your community?,"Slightly open (some concerns, but feel positive)",166,40,Male,E.P.P (ambaratonga voalohany),No,No,
Step Five: How open are you the idea of this activity taking place in your community?,"Very open (no concerns, and feel positive)",127,35,Female,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How open are you the idea of this activity taking place in your community?,"Very open (no concerns, and feel positive)",128,27,Female,Tsy mianatra,No,No,
Step Five: How open are you the idea of this activity taking place in your community?,"Very open (no concerns, and feel positive)",129,39,Female,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,61,50,Female,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Moderately willing,86,31,Male,Tsy mianatra,No,No,
Step Five: How willing are you to participate in this step?,Moderately willing,105,34,Female,E.P.P (ambaratonga voalohany),No,No,
Step Five: How willing are you to participate in this step?,,79,18,Male,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,75,33,Male,E.P.P (ambaratonga voalohany),No,No,
Step Five: How willing are you to participate in this step?,Very willing,73,50,Female,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,69,33,Female,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,90,23,Female,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Neutral,91,50,Male,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,92,40,Female,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,103,57,Female,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,106,38,Female,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,62,24,Female,Lycée (ambaratonga fahatelo),Yes,Yes,
Step Five: How willing are you to participate in this step?,Very willing,113,29,Female,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,226,30,Female,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,83,43,Female,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How willing are you to participate in this step?,Moderately willing,85,32,Female,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,82,27,Female,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How willing are you to participate in this step?,Moderately willing,89,30,Female,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,93,28,Male,University,No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,94,38,Female,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,,95,23,Female,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,77,22,Male,Lycée (ambaratonga fahatelo),Yes,Yes,
Step Five: How willing are you to participate in this step?,Very willing,74,32,Male,Tsy mianatra,No,No,
Step Five: How willing are you to participate in this step?,Very willing,135,27,Female,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,139,21,Female,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,138,18,Female,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,132,45,Female,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,134,20,Male,E.P.P (ambaratonga voalohany),No,No,
Step Five: How willing are you to participate in this step?,Very willing,131,22,Female,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,,141,40,Female,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,133,25,Female,E.P.P (ambaratonga voalohany),No,No,
Step Five: How willing are you to participate in this step?,Very willing,130,38,Female,E.P.P (ambaratonga voalohany),No,No,
Step Five: How willing are you to participate in this step?,Very willing,71,35,Female,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,104,29,Female,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,110,18,Female,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,109,20,Female,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,107,22,Female,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,108,26,Female,E.P.P (ambaratonga voalohany),No,No,
Step Five: How willing are you to participate in this step?,Very willing,112,35,Female,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,111,33,Female,Tsy mianatra,No,No,
Step Five: How willing are you to participate in this step?,Very willing,102,36,Female,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,101,29,Female,Lycée (ambaratonga fahatelo),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,96,49,Male,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,98,24,Female,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,142,25,Female,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,143,35,Female,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,144,40,Male,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Moderately willing,152,42,Male,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Moderately willing,143,32,Female,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,149,53,Female,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,150,22,Female,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,115,22,Female,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,122,48,Male,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,124,37,Female,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,123,50,Female,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,121,70,Female,Lycée (ambaratonga fahatelo),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,116,23,Female,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,117,56,Male,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,173,22,Male,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,175,26,Male,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Moderately willing,125,27,Female,University,No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,231,49,Male,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,233,20,Female,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,236,32,Female,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Moderately willing,240,27,Male,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,238,27,Male,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,239,60,Female,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,241,67,Female,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,242,52,Female,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,243,32,Female,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,153,54,Female,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Moderately willing,154,35,Female,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,155,27,Female,Lycée (ambaratonga fahatelo),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,146,55,Female,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Slightly willing,97,34,Female,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Slightly willing,156,23,Male,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Slightly willing,157,63,Female,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,100,31,Male,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,145,35,Male,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How willing are you to participate in this step?,Slightly willing,160,45,Female,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,162,28,Male,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,163,24,Male,University,No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,159,,Male,,No,Yes,
Step Five: How willing are you to participate in this step?,Slightly willing,164,46,Male,E.P.P (ambaratonga voalohany),No,No,
Step Five: How willing are you to participate in this step?,Very willing,170,57,Male,Lycée (ambaratonga fahatelo),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,169,21,Female,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Moderately willing,211,42,Female,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How willing are you to participate in this step?,Moderately willing,210,32,Female,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How willing are you to participate in this step?,Moderately willing,213,30,Female,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How willing are you to participate in this step?,Moderately willing,214,36,Male,,No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,212,58,Male,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,202,30,Female,Lycée (ambaratonga fahatelo),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,200,31,Female,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,194,27,Female,Lycée (ambaratonga fahatelo),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,201,38,Male,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,207,43,Female,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,205,30,Female,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,206,26,Female,University,No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,204,40,Female,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,8,31,Female,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,1,57,Male,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,,6,33,Female,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,,26,Female,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,178,47,Male,E.P.P (ambaratonga voalohany),Yes,Yes,
Step Five: How willing are you to participate in this step?,Moderately willing,179,36,Male,E.P.P (ambaratonga voalohany),No,No,
Step Five: How willing are you to participate in this step?,Moderately willing,177,25,Male,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,181,26,Female,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,182,42,Male,Tsy mianatra,No,No,
Step Five: How willing are you to participate in this step?,Very willing,180,29,Female,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,183,32,Male,Tsy mianatra,No,No,
Step Five: How willing are you to participate in this step?,Very willing,184,72,Male,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,186,27,Female,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Moderately willing,187,31,Female,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Slightly willing,208,28,Female,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,193,32,Female,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,195,27,Male,E.P.P (ambaratonga voalohany),No,No,
Step Five: How willing are you to participate in this step?,Very willing,196,47,Male,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,209,35,Female,Lycée (ambaratonga fahatelo),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,197,55,Male,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,198,38,Male,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,245,32,Female,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,237,28,Male,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,247,34,Female,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,127,26,Male,Tsy mianatra,No,No,
Step Five: How willing are you to participate in this step?,Very willing,246,42,Male,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,120,33,Female,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,197,50,Female,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,165,39,Female,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,215,20,Female,University,Yes,Yes,
Step Five: How willing are you to participate in this step?,Very willing,225,48,Female,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,220,29,Male,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,221,50,Female,E.P.P (ambaratonga voalohany),No,No,
Step Five: How willing are you to participate in this step?,Very willing,229,28,Female,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,228,60,Male,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,222,46,Female,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How willing are you to participate in this step?,,216,,Female,Tsy mianatra,No,No,
Step Five: How willing are you to participate in this step?,Very willing,230,38,Female,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,39,28,Female,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,168,34,Male,Lycée (ambaratonga fahatelo),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,167,60,Female,E.P.P (ambaratonga voalohany),No,Yes,
Step Five: How willing are you to participate in this step?,Moderately willing,223,24,Male,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,224,31,Male,Lycée (ambaratonga fahatelo),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,158,43,Male,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,218,23,Female,Lycée (ambaratonga fahatelo),No,Yes,
Step Five: How willing are you to participate in this step?,Slightly willing,166,40,Male,E.P.P (ambaratonga voalohany),No,No,
Step Five: How willing are you to participate in this step?,Very willing,127,35,Female,C.E.G (ambaratonga faharoa),No,Yes,
Step Five: How willing are you to participate in this step?,Very willing,128,27,Female,Tsy mianatra,No,No,
Step Five: How willing are you to participate in this step?,Very willing,129,39,Female,E.P.P (ambaratonga voalohany),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",This step is not applicable to me,61,50,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",I need to ask permission to use these resources and I will maybe get access,86,31,Male,Tsy mianatra,No,No,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",This step is not applicable to me,105,34,Female,E.P.P (ambaratonga voalohany),No,No,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",,79,18,Male,C.E.G (ambaratonga faharoa),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo","I can get these resources, no problem.",75,33,Male,E.P.P (ambaratonga voalohany),No,No,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",I need to ask permission to use these resources and I will likely get access,73,50,Female,E.P.P (ambaratonga voalohany),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo","I can get these resources, no problem.",69,33,Female,E.P.P (ambaratonga voalohany),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",These resources are not accessible to me,90,23,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",These resources are not accessible to me,91,50,Male,C.E.G (ambaratonga faharoa),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",These resources are not accessible to me,92,40,Female,E.P.P (ambaratonga voalohany),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",These resources are not accessible to me,103,57,Female,E.P.P (ambaratonga voalohany),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",These resources are not accessible to me,106,38,Female,E.P.P (ambaratonga voalohany),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo","I can get these resources, no problem.",62,24,Female,Lycée (ambaratonga fahatelo),Yes,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo","I can get these resources, no problem.",113,29,Female,E.P.P (ambaratonga voalohany),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",Not applicable,226,30,Female,E.P.P (ambaratonga voalohany),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",I need to ask permission to use these resources and I will likely not get access,83,43,Female,E.P.P (ambaratonga voalohany),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",These resources are not accessible to me,85,32,Female,E.P.P (ambaratonga voalohany),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",These resources are not accessible to me,82,27,Female,E.P.P (ambaratonga voalohany),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo","I can get these resources, no problem.",89,30,Female,E.P.P (ambaratonga voalohany),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",I need to ask permission to use these resources and I will likely not get access,93,28,Male,University,No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",I need to ask permission to use these resources and I will likely get access,94,38,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",,95,23,Female,E.P.P (ambaratonga voalohany),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",I need to ask permission to use these resources and I will maybe get access,77,22,Male,Lycée (ambaratonga fahatelo),Yes,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo","I can get these resources, no problem.",74,32,Male,Tsy mianatra,No,No,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",These resources are not accessible to me,135,27,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",These resources are not accessible to me,139,21,Female,E.P.P (ambaratonga voalohany),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",These resources are not accessible to me,138,18,Female,E.P.P (ambaratonga voalohany),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",These resources are not accessible to me,132,45,Female,E.P.P (ambaratonga voalohany),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo","I can get these resources, no problem.",134,20,Male,E.P.P (ambaratonga voalohany),No,No,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",I need to ask permission to use these resources and I will likely get access,131,22,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",,141,40,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",These resources are not accessible to me,133,25,Female,E.P.P (ambaratonga voalohany),No,No,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",I need to ask permission to use these resources and I will likely get access,130,38,Female,E.P.P (ambaratonga voalohany),No,No,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",Not applicable,71,35,Female,E.P.P (ambaratonga voalohany),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",I need to ask permission to use these resources and I will maybe get access,104,29,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",These resources are not accessible to me,110,18,Female,E.P.P (ambaratonga voalohany),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",I need to ask permission to use these resources and I will maybe get access,109,20,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",These resources are not accessible to me,107,22,Female,E.P.P (ambaratonga voalohany),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",These resources are not accessible to me,108,26,Female,E.P.P (ambaratonga voalohany),No,No,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo","I can get these resources, no problem.",112,35,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",I need to ask permission to use these resources and I will maybe get access,111,33,Female,Tsy mianatra,No,No,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",These resources are not accessible to me,102,36,Female,E.P.P (ambaratonga voalohany),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",I need to ask permission to use these resources and I will maybe get access,101,29,Female,Lycée (ambaratonga fahatelo),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",I need to ask permission to use these resources and I will likely get access,96,49,Male,E.P.P (ambaratonga voalohany),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",I need to ask permission to use these resources and I will likely get access,98,24,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",I need to ask permission to use these resources and I will likely get access,142,25,Female,E.P.P (ambaratonga voalohany),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",I need to ask permission to use these resources and I will likely get access,143,35,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",I need to ask permission to use these resources and I will likely get access,144,40,Male,C.E.G (ambaratonga faharoa),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",I need to ask permission to use these resources and I will likely not get access,152,42,Male,C.E.G (ambaratonga faharoa),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",I need to ask permission to use these resources and I will likely get access,143,32,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",I need to ask permission to use these resources and I will likely not get access,149,53,Female,E.P.P (ambaratonga voalohany),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",I need to ask permission to use these resources and I will likely not get access,150,22,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",I need to ask permission to use these resources and I will maybe get access,115,22,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",These resources are not accessible to me,122,48,Male,E.P.P (ambaratonga voalohany),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo","I can get these resources, no problem.",124,37,Female,C.E.G (ambaratonga faharoa),No,Yes,
